sample_id	chrom	start	end	cn_a	cn_b	was_cn_updated	is_ai	is_msai	msai_mirrored_vs_ref	is_reference	ai_pvalue	effect_size	diptest_pvalue
CRUK0063_SU_T1-R3	1	762273	1871162	0.947219929494028	0.289361314633931	TRUE	FALSE	FALSE	FALSE	FALSE	0.590267746041428	1.31893264009115	17120.5591647118
CRUK0063_SU_T1-R3	1	1871163	1877902	0.569361674069088	1.56434728845802	TRUE	FALSE	FALSE	FALSE	FALSE	3651.25617792652	NA	614.422345354365
CRUK0063_SU_T1-R3	1	1877903	3782568	0.839610066663453	0.488246826822851	TRUE	FALSE	FALSE	FALSE	FALSE	693.426960668885	0.942993237844416	14776.0916509709
CRUK0063_SU_T1-R3	1	3782569	3789060	1	1	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	3789061	6679913	1.34865377945439	0.391379209726523	TRUE	FALSE	FALSE	FALSE	FALSE	39.8753819224825	1.78197039913785	14427.3749738784
CRUK0063_SU_T1-R3	1	6679914	23417754	1.12097999386976	0.41308372796595	TRUE	TRUE	FALSE	FALSE	FALSE	7.30896787049445e-34	1.09902110798459	16979.9280041421
CRUK0063_SU_T1-R3	1	23417755	23420480	1	1	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	23420481	24194770	1.24979026030905	0.576950636227948	TRUE	FALSE	FALSE	FALSE	FALSE	219.997974584278	2.01118830559524	13038.9740091521
CRUK0063_SU_T1-R3	1	24194771	24201161	1	1	FALSE	NA	FALSE	FALSE	FALSE	Inf	NA	11776.8483210751
CRUK0063_SU_T1-R3	1	24201162	31907027	1.02778020311883	0.52313404234621	TRUE	TRUE	FALSE	FALSE	FALSE	0.000135322383750308	0.970990929767164	16484.71205922
CRUK0063_SU_T1-R3	1	31907028	32100808	1	1	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	32100809	33134823	1.13116291952015	0.356382763273048	TRUE	FALSE	FALSE	FALSE	FALSE	64.7391900434475	1.98465641529857	16663.4846336112
CRUK0063_SU_T1-R3	1	33134824	33234258	1	1	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	33234259	36787933	1.08403376288183	0.847471771610266	TRUE	FALSE	FALSE	FALSE	FALSE	1865.31846749452	0.609039514808362	12668.6556981267
CRUK0063_SU_T1-R3	1	36787934	36793546	1	1	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	36793547	44078604	0.977952940561104	0.525560881283236	TRUE	TRUE	FALSE	FALSE	FALSE	2.54074504756023e-07	0.94802329119186	17014.4409168699
CRUK0063_SU_T1-R3	1	44078605	44133646	1	1	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	44133647	46867771	0.93377183102259	0.489604820865173	TRUE	FALSE	FALSE	FALSE	FALSE	0.378747697972213	1.13408852589199	10174.7922593155
CRUK0063_SU_T1-R3	1	46867772	66458896	1.09508852277793	0.428650662702039	TRUE	TRUE	FALSE	FALSE	FALSE	2.56934362208497e-17	1.83501653788943	17117.2857992468
CRUK0063_SU_T1-R3	1	66458897	67581024	0.904004946202663	0	TRUE	FALSE	FALSE	FALSE	FALSE	100.581115526972	3.47636063817939	3650.25982591931
CRUK0063_SU_T1-R3	1	67581025	76081530	1.1835338826062	0	TRUE	TRUE	FALSE	FALSE	FALSE	0.0127191651980905	4.63474133924766	209.279170785441
CRUK0063_SU_T1-R3	1	76081531	76194053	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	NA	1974.63094324132
CRUK0063_SU_T1-R3	1	76194054	84944933	1.21262231840296	0.0279131390610798	TRUE	TRUE	FALSE	FALSE	FALSE	0.0180293995739907	3.50053819789591	5329.53087057296
CRUK0063_SU_T1-R3	1	84944934	84948539	1	0	FALSE	NA	FALSE	FALSE	TRUE	Inf	0	17280
CRUK0063_SU_T1-R3	1	84948540	102270445	1.2589013226101	0.10293779538735	TRUE	TRUE	FALSE	FALSE	FALSE	1.18076816249951e-18	2.42848075913548	11360.7384972944
CRUK0063_SU_T1-R3	1	102270446	103352559	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	103352560	103354134	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	103354135	103354260	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	103354261	103354471	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	103354472	103377822	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	NA	17280
CRUK0063_SU_T1-R3	1	103377823	103427813	0.782399272567758	0	TRUE	FALSE	FALSE	FALSE	FALSE	17280	NA	17280
CRUK0063_SU_T1-R3	1	103427814	103468413	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	103468414	103479958	1	0	FALSE	NA	FALSE	FALSE	TRUE	Inf	0	17280
CRUK0063_SU_T1-R3	1	103479959	103491101	1	0	FALSE	NA	FALSE	FALSE	TRUE	Inf	0	17280
CRUK0063_SU_T1-R3	1	103491102	104070382	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	104070383	104256673	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	NA	17280
CRUK0063_SU_T1-R3	1	104256674	107691260	1	0	FALSE	NA	FALSE	FALSE	TRUE	Inf	0	17280
CRUK0063_SU_T1-R3	1	107691261	109492478	1.21688973920598	0.0912683143079085	TRUE	TRUE	FALSE	FALSE	FALSE	0.0132759662600374	2.60057993296444	8905.67287722074
CRUK0063_SU_T1-R3	1	109492479	109815866	0.602014302595809	0.354162192056972	TRUE	FALSE	FALSE	FALSE	FALSE	6479.91864809377	0.501000351589706	1442.38743316603
CRUK0063_SU_T1-R3	1	109815867	109836696	1	0	FALSE	NA	FALSE	FALSE	TRUE	Inf	0	17280
CRUK0063_SU_T1-R3	1	109836697	109969099	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	109969100	110009801	1	0	FALSE	NA	FALSE	FALSE	TRUE	Inf	0	17280
CRUK0063_SU_T1-R3	1	110009802	110086758	1	0	FALSE	NA	FALSE	FALSE	FALSE	Inf	0	17280
CRUK0063_SU_T1-R3	1	110086759	110252090	1.5168265434172	0	TRUE	FALSE	FALSE	FALSE	FALSE	2829.32964272895	NA	16428.9841749027
