sample_id	chrom	start	end	cn_a	cn_b	ai_pvalue	amplification_logRthreshold	any_ai	diptest_pvalue	effect_size	gain_logRthreshold	heterozygous_SNP_number	homozygous_SNP_number	is_LOH	is_absolute_amplification	is_absolute_gain	is_absolute_loss	is_ai	is_homozygous_deletion	is_reference	is_relative_amplification_mean	is_relative_amplification_ttest	is_relative_gain_mean	is_relative_gain_ttest	is_relative_loss_mean	is_relative_loss_ttest	loss_logRthreshold	meanlogR	mirrored_vs_ref	negative_cn_called	ploidy	purity	was_cn_updated	width
G_RLX001_SU_T1-R1	1	109836836	121310061	2.0	0.0	2.2153919638616e-11	0.550444978245491	True	0.0	7.61717536735624	0.15851067708362	82	4617	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	0.0260659195187012	False	False	2.3	0.43	False	11473226
G_RLX001_SU_T1-R1	1	144854581	145282070	0.725227649062392	0.378012969823541	45.1243350909251	0.550444978245491	False	1620.70658664878	0.878020746231512	0.15851067708362	38	15	True	False	False	True	True	False	False	False	False	False	False	True	False	-0.178100978321965	-0.263017187562414	False	False	2.3	0.43	True	427490
G_RLX001_SU_T1-R1	1	145282071	151542140	1.0	0.0	0.0014428862537305	0.550444978245491	True	1.27529215530798	7.36686882648882	0.15851067708362	34	2882	True	False	False	True	True	False	True	False	False	False	False	True	True	-0.178100978321965	-0.340384200455417	False	False	2.3	0.43	False	6260070
G_RLX001_SU_T1-R1	1	151542141	153512528	2.0	0.0	6.16287133774109e-08	0.550444978245491	True	0.0	7.42225756507673	0.15851067708362	65	1506	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	0.0733889195639002	False	False	2.3	0.43	False	1970388
G_RLX001_SU_T1-R1	1	153512529	158151482	2.0	0.0	4.76183607899321e-08	0.550444978245491	True	0.157303762349059	5.71086010517497	0.15851067708362	61	5176	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	-0.162361474108043	False	False	2.3	0.43	False	4638954
G_RLX001_SU_T1-R1	1	158151483	158908933	2.0	0.0	0.00404882993905	0.550444978245491	True	1.30090724331952	6.87603595259097	0.15851067708362	32	865	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	-0.115123727449059	False	False	2.3	0.43	False	757451
G_RLX001_SU_T1-R1	1	158908934	196801042	2.0	0.0	4.11239955004303e-39	0.550444978245491	True	0.0	6.99289696024243	0.15851067708362	250	11410	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	-0.0606608393192746	False	False	2.3	0.43	False	37892109
G_RLX001_SU_T1-R1	1	196801043	234452492	2.0	0.0	6.8234287319632895e-40	0.550444978245491	True	0.0	6.32198766175615	0.15851067708362	256	14788	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	-0.0359608709037919	False	False	2.3	0.43	False	37651450
G_RLX001_SU_T1-R1	1	234452493	249212481	2.0	0.0	2.5009016958840198e-11	0.550444978245491	True	0.0	7.84906979340296	0.15851067708362	80	4471	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	-0.148379871279149	False	False	2.3	0.43	False	14759989
G_RLX001_SU_T1-R1	1	29638033	62160520	2.0	0.0	1.15808807693719e-27	0.550444978245491	True	0.0	5.60953494565175	0.15851067708362	184	14729	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	-0.114252172993505	False	False	2.3	0.43	False	32522488
G_RLX001_SU_T1-R1	1	3395002	29638032	2.0	0.0	1.7183026118225098e-33	0.550444978245491	True	0.0	4.98618152666345	0.15851067708362	227	16590	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	-0.177473879636891	False	False	2.3	0.43	False	26243031
G_RLX001_SU_T1-R1	1	62160521	62713223	2.0	0.0	300.01814812481	0.550444978245491	False	804.179337561613		0.15851067708362	9	251	True	False	False	False	True	False	True	False	False	False	False	True	True	-0.178100978321965	-0.448931345683261	False	False	2.3	0.43	False	552703
G_RLX001_SU_T1-R1	1	62713224	109836835	2.0	0.0	8.23830094550434e-34	0.550444978245491	True	0.0	5.70717091968914	0.15851067708362	217	9840	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	-0.0980217139974475	False	False	2.3	0.43	False	47123612
G_RLX001_SU_T1-R1	1	762496	3395001	2.0	0.0	0.0426779252364756	0.550444978245491	True	495.844340932078	4.1507482297534	0.15851067708362	25	3470	True	False	False	False	True	False	True	False	False	False	False	False	False	-0.178100978321965	-0.0726485520112343	False	False	2.3	0.43	False	2632506
G_RLX001_SU_T1-R1	10	105199956	129899543	1.0	0.0	6.2768158675613604e-21	0.550444978245491	True	212.331989716059	3.7069926002884	0.15851067708362	139	7265	True	False	False	True	True	False	True	False	False	False	False	True	True	-0.178100978321965	-0.246620758528594	False	False	2.3	0.43	False	24699588
