allele	type	cn_child
both	wgd	0
cn_a	totalloss	0
cn_a	totalloss	0
cn_a	totalloss	0
cn_a	totalloss	0
cn_a	gain	3
cn_a	gain	4
cn_a	loss	1
cn_a	gain	3
cn_a	loss	1
cn_a	totalloss	0
cn_a	totalloss	0
cn_a	gain	3
cn_a	gain	3
cn_a	totalloss	0
cn_a	totalloss	0
cn_a	gain	3
cn_a	totalloss	0
cn_b	loss	1
cn_b	totalloss	0
cn_b	loss	1
cn_b	totalloss	0
cn_b	loss	1
cn_b	totalloss	0
cn_b	loss	1
cn_b	totalloss	0
cn_b	loss	1
cn_b	loss	1
cn_b	loss	1
cn_b	gain	3
cn_b	gain	3
cn_b	totalloss	0
cn_b	totalloss	0
cn_b	loss	1
cn_b	totalloss	0
cn_b	loss	1
cn_b	loss	1
cn_b	totalloss	0
cn_b	loss	1
cn_b	loss	1
cn_b	totalloss	0
cn_b	totalloss	0
cn_b	loss	1
cn_b	loss	1
cn_b	loss	1
cn_b	gain	3
cn_b	loss	1
cn_b	loss	1
cn_b	loss	1
cn_b	totalloss	0
cn_b	loss	1
cn_b	loss	1
cn_b	loss	1
cn_a	gain	5
cn_a	gain	4
cn_a	gain	3
cn_a	gain	5
cn_a	gain	3
cn_a	gain	3
cn_a	gain	3
cn_a	gain	3
cn_a	gain	4
cn_b	loss	1
cn_b	gain	3
cn_b	gain	4
cn_b	gain	5
cn_b	gain	3
cn_b	loss	1
cn_b	loss	1
cn_b	gain	2
cn_b	gain	3
cn_b	gain	2
cn_a	loss	1
cn_a	loss	1
cn_a	loss	1
cn_a	gain	3
cn_a	gain	4
cn_a	gain	3
cn_a	gain	3
cn_a	gain	4
cn_a	loss	1
cn_b	loss	1
cn_b	totalloss	0
cn_b	gain	2
cn_b	gain	4
cn_b	gain	5
cn_b	gain	4
cn_b	gain	3
cn_b	gain	5
cn_b	gain	6
cn_b	gain	7
cn_b	gain	7
cn_b	gain	2
cn_b	totalloss	0
cn_b	loss	1
cn_b	loss	1
cn_b	loss	1
cn_b	gain	2
cn_a	gain	3
cn_a	gain	6
cn_a	gain	3
cn_a	gain	3
cn_a	gain	3
cn_a	gain	3
cn_a	gain	3
cn_b	gain	3
cn_b	gain	4
cn_b	gain	2
cn_b	gain	3
cn_b	gain	3
cn_b	loss	2
cn_b	loss	2
cn_b	gain	2
cn_a	loss	2
cn_a	loss	1
cn_a	loss	1
cn_a	loss	1
cn_a	loss	2
cn_b	loss	1
cn_b	loss	1
cn_b	loss	1
cn_b	gain	2
cn_b	loss	1
cn_b	loss	2
cn_b	gain	2
cn_b	totalloss	0
cn_a	loss	1
cn_a	loss	1
cn_a	loss	4
cn_b	loss	1
cn_b	gain	2
cn_b	loss	1
cn_b	gain	2
cn_a	gain	5
cn_a	gain	3
cn_a	gain	3
cn_a	gain	3
cn_b	gain	3
cn_b	gain	3
cn_b	gain	3
cn_a	gain	3
cn_a	gain	3
cn_a	gain	4
cn_a	gain	3
cn_a	gain	3
cn_a	gain	3
cn_a	gain	4
cn_a	gain	3
cn_a	gain	4
cn_a	gain	3
cn_a	gain	4
cn_a	gain	5
cn_a	gain	3
cn_a	gain	4
cn_a	gain	4
cn_a	gain	5
cn_a	gain	3
cn_a	gain	3
cn_b	gain	4
cn_b	gain	2
cn_b	gain	2
cn_b	gain	2
cn_b	gain	2
cn_b	gain	3
cn_b	gain	2
cn_b	gain	2
cn_b	gain	4
cn_b	gain	2
cn_b	gain	2
cn_a	loss	2
cn_a	gain	3
cn_a	gain	3
cn_a	loss	2
cn_b	gain	3
cn_b	loss	1
cn_b	gain	2
cn_b	loss	1
