branch	name	FractionOverlaps	event	final_name
internal_1	chr1q	1.0	gain	1q +
internal_1	chr3	0.9972608463712493	gain	3 +
internal_1	chr5	0.9906104310496885	gain	5 +
internal_1	chr8	0.998926839852622	gain	8 +
internal_1	chr9	0.9981979731206069	gain	9 +
internal_1	chr12	0.9670330308519487	gain	12 +
internal_1	chr14q	0.9635312732716604	gain	14q +
internal_1	chr15q	0.954817372239359	gain	15q +
internal_1	chr16p	0.997674972826087	gain	16p +
internal_1	chr17	0.9287925387954213	gain	17 +
internal_1	chr21q	0.905688948335123	gain	21q +
internal_1	KIF1B	1.0	gain	KIF1B +
internal_1	CASZ1	1.0	gain	CASZ1 +
internal_1	MTOR	1.0	gain	MTOR +
internal_1	AADACL3	1.0	gain	AADACL3 +
internal_1	PRAMEF11	1.0	gain	PRAMEF11 +
internal_1	SPEN	1.0	gain	SPEN +
internal_1	EPHA2	1.0	gain	EPHA2 +
internal_1	NBPF1	1.0	gain	NBPF1 +
internal_1	PADI2	1.0	gain	PADI2 +
internal_1	ALPL	1.0	gain	ALPL +
internal_1	C1QA	1.0	gain	C1QA +
internal_1	ID3	1.0	gain	ID3 +
internal_1	MTFR1L	1.0	gain	MTFR1L +
internal_1	ARID1A	1.0	gain	ARID1A +
internal_1	SLC9A1	1.0	gain	SLC9A1 +
internal_1	PHACTR4	1.0	gain	PHACTR4 +
internal_1	RCC1	1.0	gain	RCC1 +
internal_1	PTPRU	1.0	gain	PTPRU +
internal_1	MARCKSL1	1.0	gain	MARCKSL1 +
internal_1	GJB3	1.0	gain	GJB3 +
internal_1	ZMYM6	1.0	gain	ZMYM6 +
internal_1	SFPQ	1.0	gain	SFPQ +
internal_1	ZMYM4	1.0	gain	ZMYM4 +
internal_1	CLSPN	1.0	gain	CLSPN +
internal_1	COL8A2	1.0	gain	COL8A2 +
internal_1	MAP7D1	1.0	gain	MAP7D1 +
internal_1	THRAP3	1.0	gain	THRAP3 +
internal_1	GRIK3	1.0	gain	GRIK3 +
internal_1	FHL3	1.0	gain	FHL3 +
internal_1	NDUFS5	1.0	gain	NDUFS5 +
internal_1	HPCAL4	1.0	gain	HPCAL4 +
internal_1	OXCT2	1.0	gain	OXCT2 +
internal_1	PPT1	1.0	gain	PPT1 +
internal_1	TMCO2	1.0	gain	TMCO2 +
internal_1	ZMPSTE24	1.0	gain	ZMPSTE24 +
internal_1	COL9A2	1.0	gain	COL9A2 +
internal_1	EXO5	1.0	gain	EXO5 +
internal_1	RIMS3	1.0	gain	RIMS3 +
internal_1	CCDC30	1.0	gain	CCDC30 +
internal_1	PTPRF	1.0	gain	PTPRF +
internal_1	RNF220	1.0	gain	RNF220 +
internal_1	PRDX1	1.0	gain	PRDX1 +
internal_1	MAST2	1.0	gain	MAST2 +
internal_1	PIK3R3	1.0	gain	PIK3R3 +
internal_1	STIL	1.0	gain	STIL +
internal_1	CMPK1	1.0	gain	CMPK1 +
internal_1	FOXE3	1.0	gain	FOXE3 +
internal_1	SPATA6	1.0	gain	SPATA6 +
internal_1	BEND5	1.0	gain	BEND5 +
internal_1	CDKN2C	1.0	gain	CDKN2C +
internal_1	ZFYVE9	1.0	gain	ZFYVE9 +
internal_1	JUN	1.0	gain	JUN +
internal_1	RPL5	1.0	gain	RPL5 +
internal_1	CCDC18	1.0	gain	CCDC18 +
internal_1	FNBP1L	1.0	gain	FNBP1L +
internal_1	ARHGAP29	1.0	gain	ARHGAP29 +
internal_1	DPYD	1.0	gain	DPYD +
internal_1	GPR88	1.0	gain	GPR88 +
internal_1	OLFM3	1.0	gain	OLFM3 +
internal_1	COL11A1	1.0	gain	COL11A1 +
internal_1	AMY2A	1.0	gain	AMY2A +
internal_1	NTNG1	1.0	gain	NTNG1 +
internal_1	PRPF38B	1.0	gain	PRPF38B +
internal_1	GPSM2	1.0	gain	GPSM2 +
internal_1	WDR47	1.0	gain	WDR47 +
internal_1	SYPL2	1.0	gain	SYPL2 +
internal_1	RBM15	1.0	gain	RBM15 +
internal_1	KCNA10	1.0	gain	KCNA10 +
internal_1	KCND3	1.0	gain	KCND3 +
internal_1	AMPD1	1.0	gain	AMPD1 +
internal_1	NRAS	1.0	gain	NRAS +
internal_1	CSDE1	1.0	gain	CSDE1 +
internal_1	CD58	1.0	gain	CD58 +
internal_1	FAM46C	1.0	gain	FAM46C +
internal_1	TBX15	1.0	gain	TBX15 +
internal_1	ZNF697	1.0	gain	ZNF697 +
internal_1	PHGDH	1.0	gain	PHGDH +
internal_1	NOTCH2	1.0	gain	NOTCH2 +
internal_1	NBPF10	1.0	gain	NBPF10 +
internal_1	NOTCH2NL	1.0	gain	NOTCH2NL +
internal_1	BCL9	1.0	gain	BCL9 +
internal_1	NBPF9	1.0	gain	NBPF9 +
internal_1	HIST2H2BF	1.0	gain	HIST2H2BF +
internal_1	CTSK	1.0	gain	CTSK +
internal_1	SETDB1	1.0	gain	SETDB1 +
internal_1	MLLT11	1.0	gain	MLLT11 +
internal_1	ZNF687	1.0	gain	ZNF687 +
internal_1	POGZ	1.0	gain	POGZ +
internal_1	RPTN	1.0	gain	RPTN +
internal_1	LCE5A	1.0	gain	LCE5A +
internal_1	LCE2D	1.0	gain	LCE2D +
internal_1	C1orf68	1.0	gain	C1orf68 +
internal_1	LELP1	1.0	gain	LELP1 +
internal_1	S100A8	1.0	gain	S100A8 +
internal_1	RAB13	1.0	gain	RAB13 +
