sample_id	chrom	start	end	cn_a	cn_b	is_gain	is_loss	is_wgd	is_normal	is_clonal
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	762601	39903129	1	0	False	True	False	False	False
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	40195563	48178900	1	0	False	True	False	False	False
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	48935279	56196950	1	0	False	True	False	False	False
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	56434233	73996293	1	0	False	True	False	False	False
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	74007768	99113946	1	0	False	False	False	False	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	100644474	110684650	1	0	False	False	False	False	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	110991893	112890953	1	0	False	True	False	False	False
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	112892455	114324013	1	0	False	False	False	False	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	114353324	121350213	1	2	False	False	False	False	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	144901893	154673233	1	1	False	True	False	False	False
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	155123617	157272670	1	1	False	True	False	False	False
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr1	157351228	249172187	1	1	False	True	False	False	False
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	14004	17509264	1	1	False	False	False	True	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	18543805	20851608	1	0	False	False	False	False	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	20855176	23613421	1	1	False	False	False	True	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	23618193	26018735	1	0	False	False	False	False	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	26041921	28717447	1	1	False	False	False	True	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	29082136	30321103	1	1	False	False	False	True	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	30418294	32865910	1	0	False	False	False	False	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	33066652	41217822	1	1	False	False	False	True	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	41301922	47552277	1	1	False	False	False	True	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	47654844	48834296	1	0	False	False	False	False	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	48857064	92266269	1	1	False	False	False	True	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	95329476	96765415	1	1	False	False	False	True	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	96808549	102719259	1	1	False	False	False	True	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	103261272	104733051	1	0	False	True	False	False	False
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	105896322	109689597	1	0	False	False	False	False	True
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	109772761	111520743	1	1	False	False	False	False	False
RAxillaryLNMet_A24A-0021_CRUK_PC_0021_M1	chr2	115291992	116438798	1	1	False	False	False	False	False
