sample_id	chrom	start	end	cn_a	cn_b	is_gain	is_loss	is_wgd	is_normal	is_clonal
OV03-04_Bl_B01	chr1	0	1	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr1	1	2	4	1	False	False	False	True	True
OV03-04_Bl_B01	chr1	2	3	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr1	3	4	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr1	4	5	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr1	5	6	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr1	6	7	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr1	7	8	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	8	9	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	9	10	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	10	11	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	11	12	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	12	13	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	13	14	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	14	15	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	15	16	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	16	17	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	17	18	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	18	19	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	19	20	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	20	21	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	21	22	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	22	23	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	23	24	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	24	25	4	0	False	False	False	True	True
OV03-04_Bl_B01	chr1	25	26	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	26	27	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	27	28	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	28	29	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	29	30	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	30	31	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	31	32	4	0	False	False	False	True	True
OV03-04_Bl_B01	chr1	32	33	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	33	34	4	0	False	False	False	True	True
OV03-04_Bl_B01	chr1	34	35	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	35	36	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	36	37	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	37	38	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	38	39	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	39	40	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	40	41	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	41	42	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	42	43	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	43	44	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	44	45	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr1	45	46	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	0	1	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr2	1	2	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr2	2	3	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr2	3	4	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr2	4	5	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr2	5	6	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr2	6	7	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr2	7	8	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr2	8	9	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr2	9	10	1	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	10	11	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	11	12	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	12	13	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	13	14	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	14	15	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	15	16	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	16	17	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	17	18	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	18	19	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	19	20	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	20	21	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	21	22	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr2	22	23	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr3	0	1	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	1	2	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	2	3	4	0	False	False	False	True	True
OV03-04_Bl_B01	chr3	3	4	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	4	5	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr3	5	6	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr3	6	7	2	1	False	False	False	True	True
OV03-04_Bl_B01	chr3	7	8	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	8	9	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	9	10	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	10	11	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	11	12	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	12	13	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	13	14	4	0	False	False	False	True	True
OV03-04_Bl_B01	chr3	14	15	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	15	16	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	16	17	4	0	False	False	False	True	True
OV03-04_Bl_B01	chr3	17	18	2	2	False	False	False	True	True
OV03-04_Bl_B01	chr3	18	19	2	2	False	False	False	True	True
