	WGD	Rate	Number of Leaves	n	Method	Distance
0	No WGD	0.05	20	14	Euclidean NJ	8
1	No WGD	0.05	20	14	Euclidean Min. Ev.	8
2	No WGD	0.05	20	14	Manhattan NJ	4
3	No WGD	0.05	20	14	Manhattan Min. Ev.	8
4	No WGD	0.05	20	14	MEDALT	13
5	No WGD	0.05	20	14	MEDICC2	4
6	No WGD	0.05	5	22	Euclidean NJ	0
7	No WGD	0.05	5	22	Euclidean Min. Ev.	0
8	No WGD	0.05	5	22	Manhattan NJ	0
9	No WGD	0.05	5	22	Manhattan Min. Ev.	0
10	No WGD	0.05	5	22	MEDALT	2
11	No WGD	0.05	5	22	MEDICC2	0
12	Low WGD	0.01	100	22	Euclidean NJ	62
13	Low WGD	0.01	100	22	Euclidean Min. Ev.	54
14	Low WGD	0.01	100	22	Manhattan NJ	42
15	Low WGD	0.01	100	22	Manhattan Min. Ev.	54
16	Low WGD	0.01	100	22	MEDALT	79
17	Low WGD	0.01	100	22	MEDICC2	30
18	Low WGD	0.025	100	8	Euclidean NJ	66
19	Low WGD	0.025	100	8	Euclidean Min. Ev.	40
20	Low WGD	0.025	100	8	Manhattan NJ	24
21	Low WGD	0.025	100	8	Manhattan Min. Ev.	40
22	Low WGD	0.025	100	8	MEDALT	79
23	Low WGD	0.025	100	8	MEDICC2	16
24	High WGD	0.01	5	23	Euclidean NJ	2
25	High WGD	0.01	5	23	Euclidean Min. Ev.	2
26	High WGD	0.01	5	23	Manhattan NJ	2
27	High WGD	0.01	5	23	Manhattan Min. Ev.	2
28	High WGD	0.01	5	23	MEDALT	3
29	High WGD	0.01	5	23	MEDICC2	2
30	Low WGD	0.025	5	20	Euclidean NJ	0
31	Low WGD	0.025	5	20	Euclidean Min. Ev.	0
32	Low WGD	0.025	5	20	Manhattan NJ	0
33	Low WGD	0.025	5	20	Manhattan Min. Ev.	0
34	Low WGD	0.025	5	20	MEDALT	2
35	Low WGD	0.025	5	20	MEDICC2	0
36	Low WGD	0.025	100	17	Euclidean NJ	44
37	Low WGD	0.025	100	17	Euclidean Min. Ev.	48
38	Low WGD	0.025	100	17	Manhattan NJ	34
39	Low WGD	0.025	100	17	Manhattan Min. Ev.	48
40	Low WGD	0.025	100	17	MEDALT	84
41	Low WGD	0.025	100	17	MEDICC2	20
42	Low WGD	0.025	50	0	Euclidean NJ	12
43	Low WGD	0.025	50	0	Euclidean Min. Ev.	10
44	Low WGD	0.025	50	0	Manhattan NJ	8
45	Low WGD	0.025	50	0	Manhattan Min. Ev.	10
46	Low WGD	0.025	50	0	MEDALT	27
47	Low WGD	0.025	50	0	MEDICC2	6
48	High WGD	0.05	15	7	Euclidean NJ	4
49	High WGD	0.05	15	7	Euclidean Min. Ev.	4
50	High WGD	0.05	15	7	Manhattan NJ	2
51	High WGD	0.05	15	7	Manhattan Min. Ev.	4
52	High WGD	0.05	15	7	MEDALT	10
53	High WGD	0.05	15	7	MEDICC2	2
54	High WGD	0.025	20	3	Euclidean NJ	4
55	High WGD	0.025	20	3	Euclidean Min. Ev.	4
56	High WGD	0.025	20	3	Manhattan NJ	2
57	High WGD	0.025	20	3	Manhattan Min. Ev.	4
58	High WGD	0.025	20	3	MEDALT	20
59	High WGD	0.025	20	3	MEDICC2	0
60	Low WGD	0.05	3	10	Euclidean NJ	0
61	Low WGD	0.05	3	10	Euclidean Min. Ev.	0
62	Low WGD	0.05	3	10	Manhattan NJ	0
63	Low WGD	0.05	3	10	Manhattan Min. Ev.	0
64	Low WGD	0.05	3	10	MEDALT	1
65	Low WGD	0.05	3	10	MEDICC2	0
66	Low WGD	0.1	20	19	Euclidean NJ	10
67	Low WGD	0.1	20	19	Euclidean Min. Ev.	10
68	Low WGD	0.1	20	19	Manhattan NJ	6
69	Low WGD	0.1	20	19	Manhattan Min. Ev.	10
70	Low WGD	0.1	20	19	MEDALT	18
71	Low WGD	0.1	20	19	MEDICC2	8
72	Low WGD	0.075	20	17	Euclidean NJ	2
73	Low WGD	0.075	20	17	Euclidean Min. Ev.	2
74	Low WGD	0.075	20	17	Manhattan NJ	0
75	Low WGD	0.075	20	17	Manhattan Min. Ev.	2
76	Low WGD	0.075	20	17	MEDALT	16
77	Low WGD	0.075	20	17	MEDICC2	2
78	High WGD	0.05	10	3	Euclidean NJ	6
79	High WGD	0.05	10	3	Euclidean Min. Ev.	6
80	High WGD	0.05	10	3	Manhattan NJ	2
81	High WGD	0.05	10	3	Manhattan Min. Ev.	6
82	High WGD	0.05	10	3	MEDALT	7
83	High WGD	0.05	10	3	MEDICC2	0
84	Low WGD	0.05	10	24	Euclidean NJ	0
85	Low WGD	0.05	10	24	Euclidean Min. Ev.	2
86	Low WGD	0.05	10	24	Manhattan NJ	0
87	Low WGD	0.05	10	24	Manhattan Min. Ev.	2
88	Low WGD	0.05	10	24	MEDALT	7
89	Low WGD	0.05	10	24	MEDICC2	0
90	Low WGD	0.05	20	17	Euclidean NJ	14
91	Low WGD	0.05	20	17	Euclidean Min. Ev.	12
92	Low WGD	0.05	20	17	Manhattan NJ	8
93	Low WGD	0.05	20	17	Manhattan Min. Ev.	12
94	Low WGD	0.05	20	17	MEDALT	13
95	Low WGD	0.05	20	17	MEDICC2	6
96	Low WGD	0.01	5	18	Euclidean NJ	2
97	Low WGD	0.01	5	18	Euclidean Min. Ev.	2
98	Low WGD	0.01	5	18	Manhattan NJ	0
99	Low WGD	0.01	5	18	Manhattan Min. Ev.	2
100	Low WGD	0.01	5	18	MEDALT	3
101	Low WGD	0.01	5	18	MEDICC2	0
102	Low WGD	0.1	20	22	Euclidean NJ	12
103	Low WGD	0.1	20	22	Euclidean Min. Ev.	8
104	Low WGD	0.1	20	22	Manhattan NJ	4
105	Low WGD	0.1	20	22	Manhattan Min. Ev.	8
106	Low WGD	0.1	20	22	MEDALT	18
107	Low WGD	0.1	20	22	MEDICC2	8
108	Low WGD	0.025	20	17	Euclidean NJ	8
109	Low WGD	0.025	20	17	Euclidean Min. Ev.	8
110	Low WGD	0.025	20	17	Manhattan NJ	2
111	Low WGD	0.025	20	17	Manhattan Min. Ev.	8
112	Low WGD	0.025	20	17	MEDALT	15
113	Low WGD	0.025	20	17	MEDICC2	4
114	High WGD	0.025	5	11	Euclidean NJ	0
115	High WGD	0.025	5	11	Euclidean Min. Ev.	0
116	High WGD	0.025	5	11	Manhattan NJ	0
117	High WGD	0.025	5	11	Manhattan Min. Ev.	0
118	High WGD	0.025	5	11	MEDALT	0
119	High WGD	0.025	5	11	MEDICC2	0
120	High WGD	0.1	15	1	Euclidean NJ	6
121	High WGD	0.1	15	1	Euclidean Min. Ev.	6
122	High WGD	0.1	15	1	Manhattan NJ	4
123	High WGD	0.1	15	1	Manhattan Min. Ev.	6
124	High WGD	0.1	15	1	MEDALT	13
125	High WGD	0.1	15	1	MEDICC2	2
126	No WGD	0.075	15	4	Euclidean NJ	6
127	No WGD	0.075	15	4	Euclidean Min. Ev.	6
128	No WGD	0.075	15	4	Manhattan NJ	2
129	No WGD	0.075	15	4	Manhattan Min. Ev.	6
130	No WGD	0.075	15	4	MEDALT	13
131	No WGD	0.075	15	4	MEDICC2	2
132	High WGD	0.01	10	23	Euclidean NJ	8
133	High WGD	0.01	10	23	Euclidean Min. Ev.	6
134	High WGD	0.01	10	23	Manhattan NJ	6
135	High WGD	0.01	10	23	Manhattan Min. Ev.	6
136	High WGD	0.01	10	23	MEDALT	6
137	High WGD	0.01	10	23	MEDICC2	4
138	Low WGD	0.01	50	15	Euclidean NJ	20
139	Low WGD	0.01	50	15	Euclidean Min. Ev.	18
140	Low WGD	0.01	50	15	Manhattan NJ	10
141	Low WGD	0.01	50	15	Manhattan Min. Ev.	18
142	Low WGD	0.01	50	15	MEDALT	47
143	Low WGD	0.01	50	15	MEDICC2	10
144	Low WGD	0.05	50	4	Euclidean NJ	20
145	Low WGD	0.05	50	4	Euclidean Min. Ev.	20
146	Low WGD	0.05	50	4	Manhattan NJ	16
147	Low WGD	0.05	50	4	Manhattan Min. Ev.	20
148	Low WGD	0.05	50	4	MEDALT	41
149	Low WGD	0.05	50	4	MEDICC2	16
150	Low WGD	0.05	3	22	Euclidean NJ	0
151	Low WGD	0.05	3	22	Euclidean Min. Ev.	0
152	Low WGD	0.05	3	22	Manhattan NJ	0
153	Low WGD	0.05	3	22	Manhattan Min. Ev.	0
154	Low WGD	0.05	3	22	MEDALT	1
155	Low WGD	0.05	3	22	MEDICC2	0
156	No WGD	0.075	15	5	Euclidean NJ	8
157	No WGD	0.075	15	5	Euclidean Min. Ev.	10
158	No WGD	0.075	15	5	Manhattan NJ	4
159	No WGD	0.075	15	5	Manhattan Min. Ev.	10
160	No WGD	0.075	15	5	MEDALT	10
161	No WGD	0.075	15	5	MEDICC2	2
162	No WGD	0.025	15	17	Euclidean NJ	4
163	No WGD	0.025	15	17	Euclidean Min. Ev.	4
164	No WGD	0.025	15	17	Manhattan NJ	0
165	No WGD	0.025	15	17	Manhattan Min. Ev.	4
166	No WGD	0.025	15	17	MEDALT	14
167	No WGD	0.025	15	17	MEDICC2	2
168	Low WGD	0.01	5	16	Euclidean NJ	4
169	Low WGD	0.01	5	16	Euclidean Min. Ev.	4
170	Low WGD	0.01	5	16	Manhattan NJ	4
171	Low WGD	0.01	5	16	Manhattan Min. Ev.	4
172	Low WGD	0.01	5	16	MEDALT	4
173	Low WGD	0.01	5	16	MEDICC2	4
174	Low WGD	0.025	3	12	Euclidean NJ	0
175	Low WGD	0.025	3	12	Euclidean Min. Ev.	0
176	Low WGD	0.025	3	12	Manhattan NJ	0
177	Low WGD	0.025	3	12	Manhattan Min. Ev.	0
178	Low WGD	0.025	3	12	MEDALT	-1
179	Low WGD	0.025	3	12	MEDICC2	0
180	No WGD	0.1	3	19	Euclidean NJ	0
181	No WGD	0.1	3	19	Euclidean Min. Ev.	0
182	No WGD	0.1	3	19	Manhattan NJ	0
183	No WGD	0.1	3	19	Manhattan Min. Ev.	0
184	No WGD	0.1	3	19	MEDALT	1
185	No WGD	0.1	3	19	MEDICC2	0
186	No WGD	0.025	10	14	Euclidean NJ	2
187	No WGD	0.025	10	14	Euclidean Min. Ev.	2
188	No WGD	0.025	10	14	Manhattan NJ	0
189	No WGD	0.025	10	14	Manhattan Min. Ev.	2
190	No WGD	0.025	10	14	MEDALT	4
191	No WGD	0.025	10	14	MEDICC2	0
192	High WGD	0.075	15	1	Euclidean NJ	4
193	High WGD	0.075	15	1	Euclidean Min. Ev.	6
194	High WGD	0.075	15	1	Manhattan NJ	0
195	High WGD	0.075	15	1	Manhattan Min. Ev.	6
196	High WGD	0.075	15	1	MEDALT	10
197	High WGD	0.075	15	1	MEDICC2	2
198	Low WGD	0.1	10	17	Euclidean NJ	0
199	Low WGD	0.1	10	17	Euclidean Min. Ev.	0
200	Low WGD	0.1	10	17	Manhattan NJ	0
201	Low WGD	0.1	10	17	Manhattan Min. Ev.	0
202	Low WGD	0.1	10	17	MEDALT	7
203	Low WGD	0.1	10	17	MEDICC2	0
204	High WGD	0.01	5	3	Euclidean NJ	0
205	High WGD	0.01	5	3	Euclidean Min. Ev.	0
206	High WGD	0.01	5	3	Manhattan NJ	0
207	High WGD	0.01	5	3	Manhattan Min. Ev.	0
208	High WGD	0.01	5	3	MEDALT	4
209	High WGD	0.01	5	3	MEDICC2	0
210	High WGD	0.075	15	15	Euclidean NJ	4
211	High WGD	0.075	15	15	Euclidean Min. Ev.	4
212	High WGD	0.075	15	15	Manhattan NJ	2
213	High WGD	0.075	15	15	Manhattan Min. Ev.	4
214	High WGD	0.075	15	15	MEDALT	13
215	High WGD	0.075	15	15	MEDICC2	0
216	Low WGD	0.1	10	4	Euclidean NJ	2
217	Low WGD	0.1	10	4	Euclidean Min. Ev.	2
218	Low WGD	0.1	10	4	Manhattan NJ	2
219	Low WGD	0.1	10	4	Manhattan Min. Ev.	2
220	Low WGD	0.1	10	4	MEDALT	7
221	Low WGD	0.1	10	4	MEDICC2	2
222	High WGD	0.025	20	6	Euclidean NJ	2
223	High WGD	0.025	20	6	Euclidean Min. Ev.	2
224	High WGD	0.025	20	6	Manhattan NJ	2
225	High WGD	0.025	20	6	Manhattan Min. Ev.	2
226	High WGD	0.025	20	6	MEDALT	14
227	High WGD	0.025	20	6	MEDICC2	0
228	No WGD	0.05	15	16	Euclidean NJ	2
229	No WGD	0.05	15	16	Euclidean Min. Ev.	2
230	No WGD	0.05	15	16	Manhattan NJ	0
231	No WGD	0.05	15	16	Manhattan Min. Ev.	2
232	No WGD	0.05	15	16	MEDALT	12
233	No WGD	0.05	15	16	MEDICC2	0
234	No WGD	0.075	5	17	Euclidean NJ	0
235	No WGD	0.075	5	17	Euclidean Min. Ev.	0
236	No WGD	0.075	5	17	Manhattan NJ	0
237	No WGD	0.075	5	17	Manhattan Min. Ev.	0
238	No WGD	0.075	5	17	MEDALT	2
239	No WGD	0.075	5	17	MEDICC2	0
240	No WGD	0.05	5	4	Euclidean NJ	2
241	No WGD	0.05	5	4	Euclidean Min. Ev.	4
242	No WGD	0.05	5	4	Manhattan NJ	2
243	No WGD	0.05	5	4	Manhattan Min. Ev.	4
244	No WGD	0.05	5	4	MEDALT	3
245	No WGD	0.05	5	4	MEDICC2	0
246	High WGD	0.025	20	18	Euclidean NJ	4
247	High WGD	0.025	20	18	Euclidean Min. Ev.	4
248	High WGD	0.025	20	18	Manhattan NJ	2
249	High WGD	0.025	20	18	Manhattan Min. Ev.	4
250	High WGD	0.025	20	18	MEDALT	14
251	High WGD	0.025	20	18	MEDICC2	0
252	No WGD	0.025	5	7	Euclidean NJ	0
253	No WGD	0.025	5	7	Euclidean Min. Ev.	0
254	No WGD	0.025	5	7	Manhattan NJ	0
255	No WGD	0.025	5	7	Manhattan Min. Ev.	0
256	No WGD	0.025	5	7	MEDALT	3
257	No WGD	0.025	5	7	MEDICC2	0
258	High WGD	0.01	20	7	Euclidean NJ	8
259	High WGD	0.01	20	7	Euclidean Min. Ev.	4
260	High WGD	0.01	20	7	Manhattan NJ	4
261	High WGD	0.01	20	7	Manhattan Min. Ev.	4
262	High WGD	0.01	20	7	MEDALT	11
263	High WGD	0.01	20	7	MEDICC2	4
264	No WGD	0.05	20	1	Euclidean NJ	10
265	No WGD	0.05	20	1	Euclidean Min. Ev.	10
266	No WGD	0.05	20	1	Manhattan NJ	0
267	No WGD	0.05	20	1	Manhattan Min. Ev.	10
268	No WGD	0.05	20	1	MEDALT	17
269	No WGD	0.05	20	1	MEDICC2	0
270	Low WGD	0.025	20	20	Euclidean NJ	4
271	Low WGD	0.025	20	20	Euclidean Min. Ev.	4
272	Low WGD	0.025	20	20	Manhattan NJ	4
273	Low WGD	0.025	20	20	Manhattan Min. Ev.	4
274	Low WGD	0.025	20	20	MEDALT	14
275	Low WGD	0.025	20	20	MEDICC2	6
276	No WGD	0.05	10	1	Euclidean NJ	0
277	No WGD	0.05	10	1	Euclidean Min. Ev.	2
278	No WGD	0.05	10	1	Manhattan NJ	0
279	No WGD	0.05	10	1	Manhattan Min. Ev.	2
280	No WGD	0.05	10	1	MEDALT	6
281	No WGD	0.05	10	1	MEDICC2	0
282	No WGD	0.05	20	2	Euclidean NJ	4
283	No WGD	0.05	20	2	Euclidean Min. Ev.	2
284	No WGD	0.05	20	2	Manhattan NJ	0
285	No WGD	0.05	20	2	Manhattan Min. Ev.	2
286	No WGD	0.05	20	2	MEDALT	8
287	No WGD	0.05	20	2	MEDICC2	0
288	Low WGD	0.025	10	11	Euclidean NJ	2
289	Low WGD	0.025	10	11	Euclidean Min. Ev.	2
290	Low WGD	0.025	10	11	Manhattan NJ	0
291	Low WGD	0.025	10	11	Manhattan Min. Ev.	2
292	Low WGD	0.025	10	11	MEDALT	11
293	Low WGD	0.025	10	11	MEDICC2	0
294	Low WGD	0.075	10	24	Euclidean NJ	6
295	Low WGD	0.075	10	24	Euclidean Min. Ev.	4
296	Low WGD	0.075	10	24	Manhattan NJ	4
297	Low WGD	0.075	10	24	Manhattan Min. Ev.	4
298	Low WGD	0.075	10	24	MEDALT	9
299	Low WGD	0.075	10	24	MEDICC2	0
300	No WGD	0.025	5	10	Euclidean NJ	2
301	No WGD	0.025	5	10	Euclidean Min. Ev.	2
302	No WGD	0.025	5	10	Manhattan NJ	2
303	No WGD	0.025	5	10	Manhattan Min. Ev.	2
304	No WGD	0.025	5	10	MEDALT	3
305	No WGD	0.025	5	10	MEDICC2	2
306	High WGD	0.01	10	19	Euclidean NJ	4
307	High WGD	0.01	10	19	Euclidean Min. Ev.	6
308	High WGD	0.01	10	19	Manhattan NJ	6
309	High WGD	0.01	10	19	Manhattan Min. Ev.	6
310	High WGD	0.01	10	19	MEDALT	9
311	High WGD	0.01	10	19	MEDICC2	4
312	No WGD	0.075	3	1	Euclidean NJ	0
313	No WGD	0.075	3	1	Euclidean Min. Ev.	0
314	No WGD	0.075	3	1	Manhattan NJ	0
315	No WGD	0.075	3	1	Manhattan Min. Ev.	0
316	No WGD	0.075	3	1	MEDALT	1
317	No WGD	0.075	3	1	MEDICC2	0
318	High WGD	0.01	10	16	Euclidean NJ	6
319	High WGD	0.01	10	16	Euclidean Min. Ev.	4
320	High WGD	0.01	10	16	Manhattan NJ	6
321	High WGD	0.01	10	16	Manhattan Min. Ev.	4
322	High WGD	0.01	10	16	MEDALT	7
323	High WGD	0.01	10	16	MEDICC2	2
324	No WGD	0.075	5	16	Euclidean NJ	0
325	No WGD	0.075	5	16	Euclidean Min. Ev.	0
326	No WGD	0.075	5	16	Manhattan NJ	0
327	No WGD	0.075	5	16	Manhattan Min. Ev.	0
328	No WGD	0.075	5	16	MEDALT	5
329	No WGD	0.075	5	16	MEDICC2	0
330	High WGD	0.05	10	14	Euclidean NJ	2
331	High WGD	0.05	10	14	Euclidean Min. Ev.	2
332	High WGD	0.05	10	14	Manhattan NJ	2
333	High WGD	0.05	10	14	Manhattan Min. Ev.	2
334	High WGD	0.05	10	14	MEDALT	6
335	High WGD	0.05	10	14	MEDICC2	2
336	Low WGD	0.05	20	3	Euclidean NJ	12
337	Low WGD	0.05	20	3	Euclidean Min. Ev.	10
338	Low WGD	0.05	20	3	Manhattan NJ	6
339	Low WGD	0.05	20	3	Manhattan Min. Ev.	10
340	Low WGD	0.05	20	3	MEDALT	17
341	Low WGD	0.05	20	3	MEDICC2	2
342	Low WGD	0.075	3	20	Euclidean NJ	0
343	Low WGD	0.075	3	20	Euclidean Min. Ev.	0
344	Low WGD	0.075	3	20	Manhattan NJ	0
345	Low WGD	0.075	3	20	Manhattan Min. Ev.	0
346	Low WGD	0.075	3	20	MEDALT	2
347	Low WGD	0.075	3	20	MEDICC2	0
348	No WGD	0.1	10	10	Euclidean NJ	6
349	No WGD	0.1	10	10	Euclidean Min. Ev.	6
350	No WGD	0.1	10	10	Manhattan NJ	0
351	No WGD	0.1	10	10	Manhattan Min. Ev.	6
352	No WGD	0.1	10	10	MEDALT	10
353	No WGD	0.1	10	10	MEDICC2	0
354	Low WGD	0.01	15	14	Euclidean NJ	6
355	Low WGD	0.01	15	14	Euclidean Min. Ev.	6
356	Low WGD	0.01	15	14	Manhattan NJ	6
357	Low WGD	0.01	15	14	Manhattan Min. Ev.	6
358	Low WGD	0.01	15	14	MEDALT	10
359	Low WGD	0.01	15	14	MEDICC2	6
360	Low WGD	0.01	250	3	Euclidean NJ	136
361	Low WGD	0.01	250	3	Euclidean Min. Ev.	84
362	Low WGD	0.01	250	3	Manhattan NJ	76
363	Low WGD	0.01	250	3	Manhattan Min. Ev.	84
364	Low WGD	0.01	250	3	MEDALT	202
365	Low WGD	0.01	250	3	MEDICC2	66
366	Low WGD	0.075	10	13	Euclidean NJ	0
367	Low WGD	0.075	10	13	Euclidean Min. Ev.	0
368	Low WGD	0.075	10	13	Manhattan NJ	0
369	Low WGD	0.075	10	13	Manhattan Min. Ev.	0
370	Low WGD	0.075	10	13	MEDALT	7
371	Low WGD	0.075	10	13	MEDICC2	0
372	Low WGD	0.1	10	0	Euclidean NJ	6
373	Low WGD	0.1	10	0	Euclidean Min. Ev.	6
374	Low WGD	0.1	10	0	Manhattan NJ	2
375	Low WGD	0.1	10	0	Manhattan Min. Ev.	6
376	Low WGD	0.1	10	0	MEDALT	7
377	Low WGD	0.1	10	0	MEDICC2	2
378	High WGD	0.05	15	8	Euclidean NJ	2
379	High WGD	0.05	15	8	Euclidean Min. Ev.	2
380	High WGD	0.05	15	8	Manhattan NJ	0
381	High WGD	0.05	15	8	Manhattan Min. Ev.	2
382	High WGD	0.05	15	8	MEDALT	11
383	High WGD	0.05	15	8	MEDICC2	0
384	High WGD	0.025	10	3	Euclidean NJ	4
385	High WGD	0.025	10	3	Euclidean Min. Ev.	4
386	High WGD	0.025	10	3	Manhattan NJ	0
387	High WGD	0.025	10	3	Manhattan Min. Ev.	4
388	High WGD	0.025	10	3	MEDALT	7
389	High WGD	0.025	10	3	MEDICC2	0
390	Low WGD	0.075	5	10	Euclidean NJ	2
391	Low WGD	0.075	5	10	Euclidean Min. Ev.	2
392	Low WGD	0.075	5	10	Manhattan NJ	0
393	Low WGD	0.075	5	10	Manhattan Min. Ev.	2
394	Low WGD	0.075	5	10	MEDALT	3
395	Low WGD	0.075	5	10	MEDICC2	0
396	No WGD	0.075	15	17	Euclidean NJ	2
397	No WGD	0.075	15	17	Euclidean Min. Ev.	2
398	No WGD	0.075	15	17	Manhattan NJ	4
399	No WGD	0.075	15	17	Manhattan Min. Ev.	2
400	No WGD	0.075	15	17	MEDALT	13
401	No WGD	0.075	15	17	MEDICC2	2
402	High WGD	0.01	20	21	Euclidean NJ	12
403	High WGD	0.01	20	21	Euclidean Min. Ev.	12
404	High WGD	0.01	20	21	Manhattan NJ	14
405	High WGD	0.01	20	21	Manhattan Min. Ev.	12
406	High WGD	0.01	20	21	MEDALT	13
407	High WGD	0.01	20	21	MEDICC2	6
408	Low WGD	0.01	100	14	Euclidean NJ	68
409	Low WGD	0.01	100	14	Euclidean Min. Ev.	60
410	Low WGD	0.01	100	14	Manhattan NJ	42
411	Low WGD	0.01	100	14	Manhattan Min. Ev.	60
412	Low WGD	0.01	100	14	MEDALT	76
413	Low WGD	0.01	100	14	MEDICC2	38
414	No WGD	0.01	20	12	Euclidean NJ	8
415	No WGD	0.01	20	12	Euclidean Min. Ev.	10
416	No WGD	0.01	20	12	Manhattan NJ	8
417	No WGD	0.01	20	12	Manhattan Min. Ev.	10
418	No WGD	0.01	20	12	MEDALT	10
419	No WGD	0.01	20	12	MEDICC2	4
420	High WGD	0.01	20	17	Euclidean NJ	10
421	High WGD	0.01	20	17	Euclidean Min. Ev.	10
422	High WGD	0.01	20	17	Manhattan NJ	8
423	High WGD	0.01	20	17	Manhattan Min. Ev.	10
424	High WGD	0.01	20	17	MEDALT	17
425	High WGD	0.01	20	17	MEDICC2	8
426	Low WGD	0.075	5	15	Euclidean NJ	0
427	Low WGD	0.075	5	15	Euclidean Min. Ev.	0
428	Low WGD	0.075	5	15	Manhattan NJ	0
429	Low WGD	0.075	5	15	Manhattan Min. Ev.	0
430	Low WGD	0.075	5	15	MEDALT	3
431	Low WGD	0.075	5	15	MEDICC2	0
432	Low WGD	0.05	3	3	Euclidean NJ	0
433	Low WGD	0.05	3	3	Euclidean Min. Ev.	0
434	Low WGD	0.05	3	3	Manhattan NJ	0
435	Low WGD	0.05	3	3	Manhattan Min. Ev.	0
436	Low WGD	0.05	3	3	MEDALT	1
437	Low WGD	0.05	3	3	MEDICC2	0
438	Low WGD	0.01	500	5	Euclidean NJ	368
439	Low WGD	0.01	500	5	Euclidean Min. Ev.	296
440	Low WGD	0.01	500	5	Manhattan NJ	248
441	Low WGD	0.01	500	5	Manhattan Min. Ev.	296
442	Low WGD	0.01	500	5	MEDALT	433
443	Low WGD	0.01	500	5	MEDICC2	256
444	Low WGD	0.01	10	11	Euclidean NJ	6
445	Low WGD	0.01	10	11	Euclidean Min. Ev.	6
446	Low WGD	0.01	10	11	Manhattan NJ	2
447	Low WGD	0.01	10	11	Manhattan Min. Ev.	6
448	Low WGD	0.01	10	11	MEDALT	7
449	Low WGD	0.01	10	11	MEDICC2	2
450	High WGD	0.1	15	15	Euclidean NJ	10
451	High WGD	0.1	15	15	Euclidean Min. Ev.	10
452	High WGD	0.1	15	15	Manhattan NJ	8
453	High WGD	0.1	15	15	Manhattan Min. Ev.	10
454	High WGD	0.1	15	15	MEDALT	13
455	High WGD	0.1	15	15	MEDICC2	10
456	No WGD	0.025	5	19	Euclidean NJ	0
457	No WGD	0.025	5	19	Euclidean Min. Ev.	0
458	No WGD	0.025	5	19	Manhattan NJ	0
459	No WGD	0.025	5	19	Manhattan Min. Ev.	0
460	No WGD	0.025	5	19	MEDALT	1
461	No WGD	0.025	5	19	MEDICC2	0
462	Low WGD	0.01	50	4	Euclidean NJ	32
463	Low WGD	0.01	50	4	Euclidean Min. Ev.	22
464	Low WGD	0.01	50	4	Manhattan NJ	18
465	Low WGD	0.01	50	4	Manhattan Min. Ev.	22
466	Low WGD	0.01	50	4	MEDALT	44
467	Low WGD	0.01	50	4	MEDICC2	14
468	No WGD	0.05	10	11	Euclidean NJ	2
469	No WGD	0.05	10	11	Euclidean Min. Ev.	2
470	No WGD	0.05	10	11	Manhattan NJ	0
471	No WGD	0.05	10	11	Manhattan Min. Ev.	2
472	No WGD	0.05	10	11	MEDALT	7
473	No WGD	0.05	10	11	MEDICC2	0
474	Low WGD	0.025	3	9	Euclidean NJ	0
475	Low WGD	0.025	3	9	Euclidean Min. Ev.	0
476	Low WGD	0.025	3	9	Manhattan NJ	0
477	Low WGD	0.025	3	9	Manhattan Min. Ev.	0
478	Low WGD	0.025	3	9	MEDALT	1
479	Low WGD	0.025	3	9	MEDICC2	0
480	Low WGD	0.025	20	0	Euclidean NJ	2
481	Low WGD	0.025	20	0	Euclidean Min. Ev.	2
482	Low WGD	0.025	20	0	Manhattan NJ	0
483	Low WGD	0.025	20	0	Manhattan Min. Ev.	2
484	Low WGD	0.025	20	0	MEDALT	11
485	Low WGD	0.025	20	0	MEDICC2	0
486	No WGD	0.05	10	14	Euclidean NJ	0
487	No WGD	0.05	10	14	Euclidean Min. Ev.	0
488	No WGD	0.05	10	14	Manhattan NJ	0
489	No WGD	0.05	10	14	Manhattan Min. Ev.	0
490	No WGD	0.05	10	14	MEDALT	7
491	No WGD	0.05	10	14	MEDICC2	0
492	Low WGD	0.05	250	15	Euclidean NJ	160
493	Low WGD	0.05	250	15	Euclidean Min. Ev.	120
494	Low WGD	0.05	250	15	Manhattan NJ	94
495	Low WGD	0.05	250	15	Manhattan Min. Ev.	120
496	Low WGD	0.05	250	15	MEDALT	215
497	Low WGD	0.05	250	15	MEDICC2	98
498	Low WGD	0.025	50	19	Euclidean NJ	22
499	Low WGD	0.025	50	19	Euclidean Min. Ev.	22
500	Low WGD	0.025	50	19	Manhattan NJ	10
501	Low WGD	0.025	50	19	Manhattan Min. Ev.	22
502	Low WGD	0.025	50	19	MEDALT	41
503	Low WGD	0.025	50	19	MEDICC2	12
504	High WGD	0.05	15	3	Euclidean NJ	4
505	High WGD	0.05	15	3	Euclidean Min. Ev.	4
506	High WGD	0.05	15	3	Manhattan NJ	0
507	High WGD	0.05	15	3	Manhattan Min. Ev.	4
508	High WGD	0.05	15	3	MEDALT	12
509	High WGD	0.05	15	3	MEDICC2	0
510	Low WGD	0.05	10	18	Euclidean NJ	2
511	Low WGD	0.05	10	18	Euclidean Min. Ev.	2
512	Low WGD	0.05	10	18	Manhattan NJ	2
513	Low WGD	0.05	10	18	Manhattan Min. Ev.	2
514	Low WGD	0.05	10	18	MEDALT	3
515	Low WGD	0.05	10	18	MEDICC2	2
516	Low WGD	0.1	15	10	Euclidean NJ	4
